CompanyID,Name,ticker,MeetingID,MeetingDate,ItemDesc,BallotItemNumber,permno,cik,url
147,"ADC Telecommunications, Inc.",ADCT,279025,03/01/05,Redeem Shareholder Rights Plan Agreement,2,50906,61478.0,/Archives/edgar/data/61478/000120677405000045/d16006_proxy.htm
383,AK Steel Holding Corporation,AKS,204500,05/13/03,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,5,80303,918160.0,/Archives/edgar/data/918160/000095013003002994/ddef14a.htm
441,American Airlines Group Inc.,AAL,201939,05/21/03,Submit Shareholder Rights Plan (Poison Pill) to Shareholder Vote,4,21020,6201.0,/Archives/edgar/data/6201/000104746903014348/a2107885zdef14a.htm
441,American Airlines Group Inc.,AAL,252659,05/19/04,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,4,21020,6201.0,/Archives/edgar/data/6201/000104746904013209/a2133615zdef14a.htm
441,American Airlines Group Inc.,AAL,295667,05/18/05,Establish Term Limits for Directors,3,21020,6201.0,/Archives/edgar/data/6201/000104746905011056/a2155612zdef14a.htm
441,American Airlines Group Inc.,AAL,343106,05/17/06,Separate Chairman and CEO Positions,5,21020,6201.0,/Archives/edgar/data/6201/000104746906005414/a2168711zdef14a.htm
441,American Airlines Group Inc.,AAL,343106,05/17/06,Establish Term Limits for Directors,3,21020,6201.0,/Archives/edgar/data/6201/000104746906005414/a2168711zdef14a.htm
441,American Airlines Group Inc.,AAL,343106,05/17/06,Provide for Cumulative Voting,6,21020,6201.0,/Archives/edgar/data/6201/000104746906005414/a2168711zdef14a.htm
441,American Airlines Group Inc.,AAL,343106,05/17/06,Require a Majority Vote for the Election of Directors,4,21020,6201.0,/Archives/edgar/data/6201/000104746906005414/a2168711zdef14a.htm
441,American Airlines Group Inc.,AAL,393554,05/16/07,Provide for Cumulative Voting,3,21020,6201.0,/Archives/edgar/data/6201/000104746907003054/a2177242zdef14a.htm
441,American Airlines Group Inc.,AAL,393554,05/16/07,Amend Bylaws -- Call Special Meetings,4,21020,6201.0,/Archives/edgar/data/6201/000104746907003054/a2177242zdef14a.htm
441,American Airlines Group Inc.,AAL,393554,05/16/07,Performance-Based Equity Awards,5,21020,6201.0,/Archives/edgar/data/6201/000104746907003054/a2177242zdef14a.htm
441,American Airlines Group Inc.,AAL,393554,05/16/07,Advisory Vote to Ratify Named Executive Officers' Compensation,6,21020,6201.0,/Archives/edgar/data/6201/000104746907003054/a2177242zdef14a.htm
441,American Airlines Group Inc.,AAL,449361,05/21/08,Require Independent Board Chairman,5,21020,6201.0,/Archives/edgar/data/6201/000095013408006896/d53442def14a.htm
441,American Airlines Group Inc.,AAL,449361,05/21/08,Provide for Cumulative Voting,3,21020,6201.0,/Archives/edgar/data/6201/000095013408006896/d53442def14a.htm
441,American Airlines Group Inc.,AAL,449361,05/21/08,Amend Articles/Bylaws/Charter -- Call Special Meetings,4,21020,6201.0,/Archives/edgar/data/6201/000095013408006896/d53442def14a.htm
441,American Airlines Group Inc.,AAL,449361,05/21/08,Advisory Vote to Ratify Named Executive Officers' Compensation,6,21020,6201.0,/Archives/edgar/data/6201/000095013408006896/d53442def14a.htm
441,American Airlines Group Inc.,AAL,509171,05/20/09,Provide for Cumulative Voting,4,21020,6201.0,/Archives/edgar/data/6201/000095013409007785/d66372ddef14a.htm
